CustomerID,FirstName,LastName,CustomerName,EmailAddress,City,Country
11000,Jon,Yang,Jon Yang,jon24@adventure-works.com,Rockhampton,AU
11001,Eugene,Huang,Eugene Huang,eugene10@adventure-works.com,Seaford,AU
11002,Ruben,Torres,Ruben Torres,ruben35@adventure-works.com,Hobart,AU
11003,Christy,Zhu,Christy Zhu,christy12@adventure-works.com,North Ryde,AU
11004,Elizabeth,Johnson,Elizabeth Johnson,elizabeth5@adventure-works.com,Wollongong,AU
11005,Julio,Ruiz,Julio Ruiz,julio1@adventure-works.com,East Brisbane,AU
11006,Janet,Alvarez,Janet Alvarez,janet9@adventure-works.com,Matraville,AU
11007,Marco,Mehta,Marco Mehta,marco14@adventure-works.com,Warrnambool,AU
11008,Rob,Verhoff,Rob Verhoff,rob4@adventure-works.com,Bendigo,AU
11009,Shannon,Carlson,Shannon Carlson,shannon38@adventure-works.com,Hervey Bay,AU
11010,Jacquelyn,Suarez,Jacquelyn Suarez,jacquelyn20@adventure-works.com,East Brisbane,AU
11011,Curtis,Lu,Curtis Lu,curtis9@adventure-works.com,East Brisbane,AU
11012,Lauren,Walker,Lauren Walker,lauren41@adventure-works.com,Bremerton,US
11013,Ian,Jenkins,Ian Jenkins,ian47@adventure-works.com,Lebanon,US
11014,Sydney,Bennett,Sydney Bennett,sydney23@adventure-works.com,Redmond,US
11015,Chloe,Young,Chloe Young,chloe23@adventure-works.com,Burbank,US
11016,Wyatt,Hill,Wyatt Hill,wyatt32@adventure-works.com,Imperial Beach,US
11017,Shannon,Wang,Shannon Wang,shannon1@adventure-works.com,Sunbury,AU
11018,Clarence,Rai,Clarence Rai,clarence32@adventure-works.com,Bendigo,AU
11019,Luke,Lal,Luke Lal,luke18@adventure-works.com,Langley,CA
11020,Jordan,King,Jordan King,jordan73@adventure-works.com,Metchosin,CA
11021,Destiny,Wilson,Destiny Wilson,destiny7@adventure-works.com,Beaverton,US
11022,Ethan,Zhang,Ethan Zhang,ethan20@adventure-works.com,Bellingham,US
